14,camus-la-peste-utf8.txt	2683
14,dumas_blanche_beaulieu-utf8.txt	58
1413,dumas_blanche_beaulieu-utf8.txt	219
1424,dumas_blanche_beaulieu-utf8.txt	220
1425,dumas_blanche_beaulieu-utf8.txt	228
15,dumas_blanche_beaulieu-utf8.txt	81
151,dumas_blanche_beaulieu-utf8.txt	238
152,dumas_blanche_beaulieu-utf8.txt	265
153,dumas_blanche_beaulieu-utf8.txt	296
154,dumas_blanche_beaulieu-utf8.txt	329
155,dumas_blanche_beaulieu-utf8.txt	360
16,camus-la-peste-utf8.txt	42
16,dumas_blanche_beaulieu-utf8.txt	115
1640,edmond_rostand_cyrano-utf8.txt	274,281
1655,edmond_rostand_cyrano-utf8.txt	274,21395
17,camus-la-peste-utf8.txt	58
1793,dumas_blanche_beaulieu-utf8.txt	169
1794,dumas_blanche_beaulieu-utf8.txt	200
18,camus-la-peste-utf8.txt	176,194
1871,camus-la-peste-utf8.txt	510
1897,edmond_rostand_cyrano-utf8.txt	41
194,camus-la-peste-utf8.txt	24
1947,camus-la-peste-utf8.txt	9
2,dumas_blanche_beaulieu-utf8.txt	10
25,camus-la-peste-utf8.txt	2900,2912,2888,2888,198
28,camus-la-peste-utf8.txt	200
28,edmond_rostand_cyrano-utf8.txt	41
3,dumas_blanche_beaulieu-utf8.txt	30
30,camus-la-peste-utf8.txt	302
494,dumas_blanche_beaulieu-utf8.txt	9
5,dumas_blanche_beaulieu-utf8.txt	169
50,dumas_blanche_beaulieu-utf8.txt	9
75,dumas_blanche_beaulieu-utf8.txt	145
76,dumas_blanche_beaulieu-utf8.txt	176
77,dumas_blanche_beaulieu-utf8.txt	208
abaissé,edmond_rostand_cyrano-utf8.txt	15594
abaissées,edmond_rostand_cyrano-utf8.txt	19435
abandon,camus-la-peste-utf8.txt	2189,887,1183
abandonnait,camus-la-peste-utf8.txt	2880
abandonne,camus-la-peste-utf8.txt	883
abandonner,camus-la-peste-utf8.txt	2533,2189
abandonné,camus-la-peste-utf8.txt	3140,2167,1469
abandonnés,camus-la-peste-utf8.txt	2146,879
abasourdi,camus-la-peste-utf8.txt	3140
abatjour,camus-la-peste-utf8.txt	1147
abattement,camus-la-peste-utf8.txt	2140
abattre,camus-la-peste-utf8.txt	2120
abattu,camus-la-peste-utf8.txt	174,1925
abattu,dumas_blanche_beaulieu-utf8.txt	196
abattus,camus-la-peste-utf8.txt	834
abcès,camus-la-peste-utf8.txt	482,3026,344,296
aberration,edmond_rostand_cyrano-utf8.txt	9587
abject,camus-la-peste-utf8.txt	2689
abjurations,dumas_blanche_beaulieu-utf8.txt	171
abjurèrent,dumas_blanche_beaulieu-utf8.txt	159
abominable,camus-la-peste-utf8.txt	2691
abondance,camus-la-peste-utf8.txt	2912
abondante,camus-la-peste-utf8.txt	196
abonde,edmond_rostand_cyrano-utf8.txt	8910
aboutir,camus-la-peste-utf8.txt	2900
aboutit,edmond_rostand_cyrano-utf8.txt	21403
abricotez,edmond_rostand_cyrano-utf8.txt	7137
abruptes,camus-la-peste-utf8.txt	957
absence,camus-la-peste-utf8.txt	1203
absent,camus-la-peste-utf8.txt	3144,30
absent,edmond_rostand_cyrano-utf8.txt	8866
absente,edmond_rostand_cyrano-utf8.txt	17374
absentes,edmond_rostand_cyrano-utf8.txt	11342
absents,camus-la-peste-utf8.txt	871
absolu,camus-la-peste-utf8.txt	2144,1063,2653
absolue,camus-la-peste-utf8.txt	608,610,2092
absolument,camus-la-peste-utf8.txt	1079,1055,1511,1559,2173,632
absorbé,edmond_rostand_cyrano-utf8.txt	17041
absorbés,camus-la-peste-utf8.txt	2110,2161,1787
abstractions,camus-la-peste-utf8.txt	1047
abstrait,camus-la-peste-utf8.txt	1045
abstraite,camus-la-peste-utf8.txt	2683,2146
abstraitement,camus-la-peste-utf8.txt	1379,2417
absurde,camus-la-peste-utf8.txt	326
abîmes,camus-la-peste-utf8.txt	879
accablement,edmond_rostand_cyrano-utf8.txt	5070
accablé,camus-la-peste-utf8.txt	1497,1201
accent,camus-la-peste-utf8.txt	2841,1063,1707
accentué,camus-la-peste-utf8.txt	1063
accepta,camus-la-peste-utf8.txt	2791,1137,1405,2841
acceptaient,camus-la-peste-utf8.txt	2142
acceptait,camus-la-peste-utf8.txt	1693,2148
acceptant,camus-la-peste-utf8.txt	879
accepte,camus-la-peste-utf8.txt	2307
accepter,camus-la-peste-utf8.txt	2597,957,1315,2549,2533,2693,887
