14 , dumas_blanche_beaulieu-utf8.txt	58
1413 , dumas_blanche_beaulieu-utf8.txt	219
1424 , dumas_blanche_beaulieu-utf8.txt	220
1425 , dumas_blanche_beaulieu-utf8.txt	228
15 , dumas_blanche_beaulieu-utf8.txt	81
151 , dumas_blanche_beaulieu-utf8.txt	238
152 , dumas_blanche_beaulieu-utf8.txt	265
153 , dumas_blanche_beaulieu-utf8.txt	296
154 , dumas_blanche_beaulieu-utf8.txt	329
155 , dumas_blanche_beaulieu-utf8.txt	360
16 , dumas_blanche_beaulieu-utf8.txt	115
16 , hugo_claude_gueux--utf8.txt	798
1793 , dumas_blanche_beaulieu-utf8.txt	169
1794 , dumas_blanche_beaulieu-utf8.txt	200
1830 , hugo_claude_gueux--utf8.txt	1146
1831 , hugo_claude_gueux--utf8.txt	418
1832 , hugo_claude_gueux--utf8.txt	798 , 914
1834 , hugo_claude_gueux--utf8.txt	61 , 31
1881 , hugo_claude_gueux--utf8.txt	35
2 , dumas_blanche_beaulieu-utf8.txt	10
25 , hugo_claude_gueux--utf8.txt	418 , 434 , 458
296 , hugo_claude_gueux--utf8.txt	838
3 , dumas_blanche_beaulieu-utf8.txt	30
30 , hugo_claude_gueux--utf8.txt	61
4 , hugo_claude_gueux--utf8.txt	458 , 810 , 462 , 566 , 566 , 434
494 , dumas_blanche_beaulieu-utf8.txt	9
5 , dumas_blanche_beaulieu-utf8.txt	169
50 , dumas_blanche_beaulieu-utf8.txt	9
6 , hugo_claude_gueux--utf8.txt	69
75 , dumas_blanche_beaulieu-utf8.txt	145
76 , dumas_blanche_beaulieu-utf8.txt	176
77 , dumas_blanche_beaulieu-utf8.txt	208
8 , hugo_claude_gueux--utf8.txt	914
abandonnerait , hugo_claude_gueux--utf8.txt	626
abattu , dumas_blanche_beaulieu-utf8.txt	196
abbaye , hugo_claude_gueux--utf8.txt	94
abjurations , dumas_blanche_beaulieu-utf8.txt	171
abjurèrent , dumas_blanche_beaulieu-utf8.txt	159
aborda , hugo_claude_gueux--utf8.txt	446 , 522
abrégeons , hugo_claude_gueux--utf8.txt	798
absurde , hugo_claude_gueux--utf8.txt	114 , 1094 , 1106 , 114
accosta , hugo_claude_gueux--utf8.txt	522
accusait , dumas_blanche_beaulieu-utf8.txt	202
accusé , dumas_blanche_beaulieu-utf8.txt	206
accusé , hugo_claude_gueux--utf8.txt	1034
acquis , hugo_claude_gueux--utf8.txt	134
action , hugo_claude_gueux--utf8.txt	574
adieux , hugo_claude_gueux--utf8.txt	638
administratifs , dumas_blanche_beaulieu-utf8.txt	132
admirable , hugo_claude_gueux--utf8.txt	982
adoration , hugo_claude_gueux--utf8.txt	138
adressa , hugo_claude_gueux--utf8.txt	246
adressait , hugo_claude_gueux--utf8.txt	386
adresser , hugo_claude_gueux--utf8.txt	73
affaire , hugo_claude_gueux--utf8.txt	806 , 322
affection , hugo_claude_gueux--utf8.txt	814
affreuse , hugo_claude_gueux--utf8.txt	766
afin , dumas_blanche_beaulieu-utf8.txt	194 , 250
afin , hugo_claude_gueux--utf8.txt	958 , 806 , 1134
agi , hugo_claude_gueux--utf8.txt	218
agir , dumas_blanche_beaulieu-utf8.txt	138
agiter , dumas_blanche_beaulieu-utf8.txt	61
ah , dumas_blanche_beaulieu-utf8.txt	223 , 241
ah , hugo_claude_gueux--utf8.txt	854 , 262 , 718
ai , dumas_blanche_beaulieu-utf8.txt	271
ai , hugo_claude_gueux--utf8.txt	350 , 566 , 566 , 178
aidezmoi , hugo_claude_gueux--utf8.txt	69
aiguilles , hugo_claude_gueux--utf8.txt	142
aije , hugo_claude_gueux--utf8.txt	870 , 870
ailleurs , hugo_claude_gueux--utf8.txt	482
aimait , hugo_claude_gueux--utf8.txt	618 , 226
aimant , hugo_claude_gueux--utf8.txt	138 , 138
aimé , hugo_claude_gueux--utf8.txt	146 , 218 , 566 , 482 , 566
aimée , hugo_claude_gueux--utf8.txt	462
ainsi , dumas_blanche_beaulieu-utf8.txt	330
ainsi , hugo_claude_gueux--utf8.txt	746 , 554 , 642 , 94 , 146 , 158 , 246
ait , hugo_claude_gueux--utf8.txt	734
ajouta , hugo_claude_gueux--utf8.txt	314 , 430 , 530
ajoutât , hugo_claude_gueux--utf8.txt	946
ajusté , hugo_claude_gueux--utf8.txt	114
albin , hugo_claude_gueux--utf8.txt	242 , 734 , 734 , 734 , 822 , 618 , 566 , 566 , 566 , 238 , 946 , 386 , 194 , 210 , 326 , 210 , 302 , 286 , 226 , 246 , 246 , 246 , 246 , 230 , 246
alentour , dumas_blanche_beaulieu-utf8.txt	80 , 64
alexandre , dumas_blanche_beaulieu-utf8.txt	3
alla , hugo_claude_gueux--utf8.txt	658
allait , hugo_claude_gueux--utf8.txt	630 , 114 , 574 , 642 , 602
aller , hugo_claude_gueux--utf8.txt	734 , 850
allez , hugo_claude_gueux--utf8.txt	1130
allons , dumas_blanche_beaulieu-utf8.txt	292
allons , hugo_claude_gueux--utf8.txt	922 , 634
allume , hugo_claude_gueux--utf8.txt	122
allumée , hugo_claude_gueux--utf8.txt	266
allèrent , dumas_blanche_beaulieu-utf8.txt	61
alors , dumas_blanche_beaulieu-utf8.txt	101
alors , hugo_claude_gueux--utf8.txt	562 , 770 , 810 , 658 , 550 , 854
amenés , dumas_blanche_beaulieu-utf8.txt	53
ami , hugo_claude_gueux--utf8.txt	854 , 734 , 462 , 854 , 854
amis , dumas_blanche_beaulieu-utf8.txt	88
amis , hugo_claude_gueux--utf8.txt	1090 , 214
amitié , hugo_claude_gueux--utf8.txt	210 , 210
amoindrir , hugo_claude_gueux--utf8.txt	838
amputation , hugo_claude_gueux--utf8.txt	1094
an , hugo_claude_gueux--utf8.txt	1114 , 1050
anacharsis , dumas_blanche_beaulieu-utf8.txt	162
ancien , hugo_claude_gueux--utf8.txt	626
anglais , dumas_blanche_beaulieu-utf8.txt	256
angle , hugo_claude_gueux--utf8.txt	642
animale , hugo_claude_gueux--utf8.txt	1130
annonça , hugo_claude_gueux--utf8.txt	558 , 914
année , dumas_blanche_beaulieu-utf8.txt	228
année , hugo_claude_gueux--utf8.txt	31
ans , dumas_blanche_beaulieu-utf8.txt	25
ans , hugo_claude_gueux--utf8.txt	854 , 894 , 90 , 522 , 854 , 854 , 210 , 210 , 90 , 1030
anse , hugo_claude_gueux--utf8.txt	910
anxiété , hugo_claude_gueux--utf8.txt	390
apercevez , dumas_blanche_beaulieu-utf8.txt	56
aperçut , hugo_claude_gueux--utf8.txt	630
appela , hugo_claude_gueux--utf8.txt	230 , 822
appelait , hugo_claude_gueux--utf8.txt	114 , 126 , 874
appelant , hugo_claude_gueux--utf8.txt	618
appelez , hugo_claude_gueux--utf8.txt	1130
appelle , hugo_claude_gueux--utf8.txt	830
applaudi , dumas_blanche_beaulieu-utf8.txt	171
appris , dumas_blanche_beaulieu-utf8.txt	264
approchait , hugo_claude_gueux--utf8.txt	650
approché , dumas_blanche_beaulieu-utf8.txt	235
approvisionnent , dumas_blanche_beaulieu-utf8.txt	294
appuyée , dumas_blanche_beaulieu-utf8.txt	212
appétitslà , hugo_claude_gueux--utf8.txt	150
après , dumas_blanche_beaulieu-utf8.txt	25 , 71 , 249
après , hugo_claude_gueux--utf8.txt	1058 , 830 , 522 , 738 , 618 , 874 , 914 , 618 , 642 , 990
arbres , dumas_blanche_beaulieu-utf8.txt	250
arcade , hugo_claude_gueux--utf8.txt	106
argent , dumas_blanche_beaulieu-utf8.txt	258 , 273
armée , dumas_blanche_beaulieu-utf8.txt	77 , 104
arrachent , hugo_claude_gueux--utf8.txt	122
arriva , dumas_blanche_beaulieu-utf8.txt	116
arriva , hugo_claude_gueux--utf8.txt	930 , 914 , 462 , 246
arriver , dumas_blanche_beaulieu-utf8.txt	253
arriverait , hugo_claude_gueux--utf8.txt	518
arrivé , dumas_blanche_beaulieu-utf8.txt	225
arrivé , hugo_claude_gueux--utf8.txt	126 , 102
arrivés , hugo_claude_gueux--utf8.txt	746
arrosezla , hugo_claude_gueux--utf8.txt	1186
arrêt , hugo_claude_gueux--utf8.txt	882
artus , dumas_blanche_beaulieu-utf8.txt	307 , 275 , 333 , 283 , 243 , 323
as , dumas_blanche_beaulieu-utf8.txt	50 , 325 , 264
ascendant , hugo_claude_gueux--utf8.txt	134 , 134
assassin , hugo_claude_gueux--utf8.txt	870 , 838
assassiné , hugo_claude_gueux--utf8.txt	1182 , 850
assez , hugo_claude_gueux--utf8.txt	318 , 642 , 854 , 566 , 718 , 642
assigné , hugo_claude_gueux--utf8.txt	542
assis , hugo_claude_gueux--utf8.txt	402
assistait , hugo_claude_gueux--utf8.txt	834
assistants , hugo_claude_gueux--utf8.txt	842
assure , hugo_claude_gueux--utf8.txt	398
assénés , hugo_claude_gueux--utf8.txt	766
astu , dumas_blanche_beaulieu-utf8.txt	262
atelier , hugo_claude_gueux--utf8.txt	214 , 126 , 546 , 102 , 550
ateliers , hugo_claude_gueux--utf8.txt	218 , 1122 , 506 , 118 , 786 , 114 , 850 , 282
atil , hugo_claude_gueux--utf8.txt	994 , 886 , 886
atroce , hugo_claude_gueux--utf8.txt	1106
attacher , hugo_claude_gueux--utf8.txt	478
attaque , dumas_blanche_beaulieu-utf8.txt	95
attendaient , hugo_claude_gueux--utf8.txt	650
attendait , hugo_claude_gueux--utf8.txt	390
attendant , hugo_claude_gueux--utf8.txt	290
attendent , dumas_blanche_beaulieu-utf8.txt	320
attendit , hugo_claude_gueux--utf8.txt	970 , 518 , 738
attendre , dumas_blanche_beaulieu-utf8.txt	297 , 342
attendri , hugo_claude_gueux--utf8.txt	734
attentif , hugo_claude_gueux--utf8.txt	846
attention , hugo_claude_gueux--utf8.txt	942 , 814 , 466
attesta , hugo_claude_gueux--utf8.txt	574
attitude , hugo_claude_gueux--utf8.txt	802 , 402
atténuantes , hugo_claude_gueux--utf8.txt	858
aucun , hugo_claude_gueux--utf8.txt	782 , 374 , 810
audedans , dumas_blanche_beaulieu-utf8.txt	189
audehors , dumas_blanche_beaulieu-utf8.txt	190
audessous , hugo_claude_gueux--utf8.txt	482 , 1130
audessus , hugo_claude_gueux--utf8.txt	858
audience , hugo_claude_gueux--utf8.txt	834
aujourdhui , hugo_claude_gueux--utf8.txt	434 , 258
auprès , hugo_claude_gueux--utf8.txt	778
aura , dumas_blanche_beaulieu-utf8.txt	293
auraient , dumas_blanche_beaulieu-utf8.txt	259
aurait , dumas_blanche_beaulieu-utf8.txt	253
aurait , hugo_claude_gueux--utf8.txt	946 , 326
aurez , hugo_claude_gueux--utf8.txt	1146
auront , dumas_blanche_beaulieu-utf8.txt	349
aussi , dumas_blanche_beaulieu-utf8.txt	173
aussi , hugo_claude_gueux--utf8.txt	1158 , 482 , 910 , 206 , 386 , 474 , 946 , 218 , 746 , 126
autant , hugo_claude_gueux--utf8.txt	998 , 73
autel , hugo_claude_gueux--utf8.txt	94
auteur , dumas_blanche_beaulieu-utf8.txt	11
auteur , hugo_claude_gueux--utf8.txt	57
autorité , hugo_claude_gueux--utf8.txt	114
autour , hugo_claude_gueux--utf8.txt	138 , 794 , 1130
autre , dumas_blanche_beaulieu-utf8.txt	34
autre , hugo_claude_gueux--utf8.txt	1146 , 402 , 734
autres , dumas_blanche_beaulieu-utf8.txt	27 , 5 , 249 , 146
autres , hugo_claude_gueux--utf8.txt	1034 , 546 , 394 , 870 , 446 , 794 , 162
auxquelles , hugo_claude_gueux--utf8.txt	886
avaient , dumas_blanche_beaulieu-utf8.txt	64
avaient , hugo_claude_gueux--utf8.txt	766 , 878 , 782 , 1142 , 810
avait , dumas_blanche_beaulieu-utf8.txt	53 , 196 , 173 , 170 , 165 , 146 , 215 , 110 , 39 , 358
